"First Name","Last Name","Gender","Age","Year of Birth","Language","Website","Quelle","Akteur","Kürzel","Akteur Typ","Party","Fraction","National","Regional","Canton","District","Municipality","Zip","Chamber","In Office since","End of Office","Active","Candidate Nationalrat","Candidate Staenderat","Candidate Kantonsrat","Candidate Regierungsrat","Incumbent","Twitter Name","User_id","Status_id","Created_at"
"Marina","Carobbio","f",NA,1966-06-12,NA,"www.marinacarobbio.ch",NA,"Parliamentarian","MP","Person","SOZIALDEMOKRATISCHE PARTEI DER SCHWEIZ","SOZIALDEMOKRATISCHE FRAKTION",1,0,"Tessin",NA,"Lumino",6533,"Nationalrat",2007-06-04,NA,1,NA,NA,NA,NA,NA,"MarinaCarobbio","847717320","1109903558185545729",2019-03-24T18:43:23Z
"Rocco","Cattaneo","m",NA,1958-12-06,NA,"www.roccocattaneo.ch",NA,"Parliamentarian","MP","Person","FDP.DIE LIBERALEN","FDP-LIBERALE FRAKTION",1,0,"Tessin",NA,"Bironico",6804,"Nationalrat",2017-11-27,NA,1,NA,NA,NA,NA,NA,"RoccoCattaneo",NA,NA,NA
"Isabelle","Chevalley","f",NA,1972-04-13,NA,"www.isabellechevalley.ch",NA,"Parliamentarian","MP","Person","GRÜNLIBERALE PARTEI","GRÜNLIBERALE FRAKTION",1,0,"Waadt",NA,"St-George",1188,"Nationalrat",2011-12-05,NA,1,NA,NA,NA,NA,NA,"I_Chevalley","149008275","1109478394947948544",2019-03-23T14:33:57Z
"Marco","Chiesa","m",NA,1974-10-10,NA,"www.marcochiesa.ch",NA,"Parliamentarian","MP","Person","SCHWEIZERISCHE VOLKSPARTEI","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"Tessin",NA,"Ruvigliana",6977,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,"marcochiesa74","289393019","1067153264976760840",2018-11-28T10:10:10Z
"Raymond","Clottu","m",NA,1967-12-18,NA,NA,NA,"Parliamentarian","MP","Person","PARTEILOS","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"Neuenburg",NA,"La Brévine",2406,"Nationalrat",2013-09-09,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brigitte","Crottaz","f",NA,1957-10-06,NA,NA,NA,"Parliamentarian","MP","Person","SOZIALDEMOKRATISCHE PARTEI DER SCHWEIZ","SOZIALDEMOKRATISCHE FRAKTION",1,0,"Waadt",NA,"Epalinges",1066,"Nationalrat",2018-02-26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominique","de Buman","m",NA,1956-04-28,NA,"www.debuman.ch",NA,"Parliamentarian","MP","Person","CHRISTLICHDEMOKRATISCHE VOLKSPARTEI DER SCHWEIZ","CVP-FRAKTION",1,0,"Freiburg",NA,"Fribourg",1700,"Nationalrat",2003-12-01,NA,1,NA,NA,NA,NA,NA,"DdeBuman","627501106","938446325431132161",2017-12-06T22:22:22Z
"Thomas","de Courten","m",NA,1966-07-29,NA,"www.decourten.info",NA,"Parliamentarian","MP","Person","SCHWEIZERISCHE VOLKSPARTEI","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"Basel-Landschaft",NA,"Rünenberg",4497,"Nationalrat",2011-12-05,NA,1,NA,NA,NA,NA,NA,"thomasdecourten",NA,NA,NA
"Denis","de la Reussille","m",NA,1960-10-24,NA,"www.lelocle.ch",NA,"Parliamentarian","MP","Person","PARTEI DER ARBEIT DER SCHWEIZ","GRÜNE FRAKTION",1,0,"Neuenburg",NA,"Le Locle",2400,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fathi","Derder","m",NA,1970-12-04,NA,"www.derder.ch",NA,"Parliamentarian","MP","Person","FDP.DIE LIBERALEN","FDP-LIBERALE FRAKTION",1,0,"Waadt",NA,"Lutry",1095,"Nationalrat",2011-12-05,NA,1,NA,NA,NA,NA,NA,"fderder","619225869","1109092864556978176",2019-03-22T13:01:59Z
"Marcel","Dettling","m",NA,1981-02-01,NA,NA,NA,"Parliamentarian","MP","Person","SCHWEIZERISCHE VOLKSPARTEI","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"Schwyz",NA,"Oberiberg",8843,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcel","Dobler","m",NA,1980-08-29,NA,"www.marcel-dobler.ch",NA,"Parliamentarian","MP","Person","FDP.DIE LIBERALEN","FDP-LIBERALE FRAKTION",1,0,"St. Gallen",NA,"Wabern",3084,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,"Marcel_Dobler","2882434546","1110091704911183873",2019-03-25T07:11:01Z
"Thomas","Egger","m",NA,1967-06-15,NA,"www.thomasegger.ch",NA,"Parliamentarian","MP","Person","CHRISTLICHSOZIALE VOLKSPARTEI OBERWALLIS","CVP-FRAKTION",1,0,"Wallis",NA,"Visp",3930,"Nationalrat",2017-06-15,NA,1,NA,NA,NA,NA,NA,"Thomas_Egger_NR","888380018673545216","1109045390668648448",2019-03-22T09:53:20Z
"Hans","Egloff","m",NA,1959-11-27,NA,"www.hans-egloff.ch",NA,"Parliamentarian","MP","Person","SCHWEIZERISCHE VOLKSPARTEI","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"Zürich",NA,"Zürich",8004,"Nationalrat",2011-12-05,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corina","Eichenberger-Walther","f",NA,1954-10-14,NA,"www.corinaeichenberger.ch",NA,"Parliamentarian","MP","Person","FDP.DIE LIBERALEN","FDP-LIBERALE FRAKTION",1,0,"Aargau",NA,"Kölliken",5742,"Nationalrat",2007-12-03,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yvette","Estermann","f",NA,1967-02-26,NA,"www.yvette-estermann.ch",NA,"Parliamentarian","MP","Person","SCHWEIZERISCHE VOLKSPARTEI","FRAKTION DER SCHWEIZERISCHEN VOLKSPARTEI",1,0,"Luzern",NA,"Kriens",6010,"Nationalrat",2007-12-03,NA,1,NA,NA,NA,NA,NA,"Yvette67Yvette","1017350089","1109706308096278534",2019-03-24T05:39:35Z
"Christoph","Eymann","m",NA,1951-01-15,NA,NA,NA,"Parliamentarian","MP","Person","LIBERAL-DEMOKRATISCHE PARTEI","FDP-LIBERALE FRAKTION",1,0,"Basel-Stadt",NA,"Basel",4010,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel","Fässler","m",NA,1960-08-22,NA,NA,NA,"Parliamentarian","MP","Person","CHRISTLICHDEMOKRATISCHE VOLKSPARTEI DER SCHWEIZ","CVP-FRAKTION",1,0,"Appenzell I.-Rh.",NA,"Appenzell",9050,"Nationalrat",2011-12-05,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laurence","Rielle","m",NA,1955-09-11,NA,"www.fehlmann-rielle.info",NA,"Parliamentarian","MP","Person","SOZIALDEMOKRATISCHE PARTEI DER SCHWEIZ","SOZIALDEMOKRATISCHE FRAKTION",1,0,"Genf",NA,"Genève",1206,"Nationalrat",2015-11-30,NA,1,NA,NA,NA,NA,NA,"FehlmannRielle","3082560978","1108636016297107456",2019-03-21T06:46:38Z
